Sample,Target_Modality,Method,MAE,Cosine,Top1_Process_Match
SIM-0100,DBS,Oracle label bridge,0.007952377760772527,0.9987312781271062,1.0
SIM-0100,DBS,Standard no-bridge cohort mean,0.1298725598389386,0.3917288461258331,0.0
SIM-0100,DBS,Standard random bridge,0.16107166062857206,0.02337642311562154,0.0
SIM-0369,DBS,UGA unsupervised bridge,0.014476686707220151,0.9904912369321974,1.0
SIM-0369,DBS,Oracle label bridge,0.014476686707220146,0.9904912369321972,1.0
SIM-0369,DBS,Standard no-bridge cohort mean,0.13380964623442515,0.37411830533939777,0.0
SIM-0369,DBS,Standard random bridge,0.11780855061733152,0.34190354399668726,0.0
SIM-0511,DBS,UGA unsupervised bridge,0.011824527799406716,0.9962036647717881,1.0
SIM-0511,DBS,Oracle label bridge,0.011824527799406716,0.9962036647717881,1.0
SIM-0511,DBS,Standard no-bridge cohort mean,0.12807582274711998,0.35906524046475685,0.0
SIM-0511,DBS,Standard random bridge,0.017829415292597062,0.9940727252145094,1.0
SIM-0321,DBS,UGA unsupervised bridge,0.018269361816387057,0.9780592749904965,1.0
SIM-0321,DBS,Oracle label bridge,0.01826936181638706,0.9780592749904966,1.0
SIM-0321,DBS,Standard no-bridge cohort mean,0.11028080487739915,0.5171783257927437,0.0
SIM-0321,DBS,Standard random bridge,0.12670269864645267,0.2716529421815127,0.0
SIM-0367,DBS,UGA unsupervised bridge,0.014908583355631692,0.9930574789965254,1.0
SIM-0367,DBS,Oracle label bridge,0.014908583355631687,0.9930574789965253,1.0
SIM-0367,DBS,Standard no-bridge cohort mean,0.1220131094378883,0.44090955666242587,0.0
SIM-0367,DBS,Standard random bridge,0.11114801366175049,0.45561832136863356,0.0
SIM-0192,DBS,UGA unsupervised bridge,0.0052382513977319535,0.9994754425856601,1.0
SIM-0192,DBS,Oracle label bridge,0.0052382513977319535,0.9994754425856601,1.0
SIM-0192,DBS,Standard no-bridge cohort mean,0.13756049668465253,0.34064983206545874,0.0
SIM-0192,DBS,Standard random bridge,0.16474565461544954,0.005609708477045067,0.0
SIM-0362,DBS,UGA unsupervised bridge,0.012252184998456291,0.9969856638635518,1.0
SIM-0362,DBS,Oracle label bridge,0.012252184998456291,0.9969856638635518,1.0
SIM-0362,DBS,Standard no-bridge cohort mean,0.1347989725214281,0.33362934146562734,0.0
SIM-0362,DBS,Standard random bridge,0.16666666666666666,0.0,0.0
SIM-0463,DBS,UGA unsupervised bridge,0.009833379770518541,0.9970185369269318,1.0
SIM-0463,DBS,Oracle label bridge,0.009833379770518541,0.9970185369269318,1.0
SIM-0463,DBS,Standard no-bridge cohort mean,0.12653480610688136,0.37797599173658303,0.0
SIM-0463,DBS,Standard random bridge,0.10472202156180775,0.43599845459110703,0.0
SIM-0094,DBS,UGA unsupervised bridge,0.007981490817246669,0.9980740383428998,1.0
SIM-0094,DBS,Oracle label bridge,0.007981490817246669,0.9980740383428998,1.0
SIM-0094,DBS,Standard no-bridge cohort mean,0.12699455104545632,0.45052742688633185,0.0
SIM-0094,DBS,Standard random bridge,0.16496978361595876,0.006971264843261022,0.0
SIM-0338,DBS,UGA unsupervised bridge,0.019060383676093324,0.9846429457444551,1.0
SIM-0338,DBS,Oracle label bridge,0.019060383676093324,0.9846429457444551,1.0
SIM-0338,DBS,Standard no-bridge cohort mean,0.11450143926022073,0.4809826995883674,0.0
SIM-0338,DBS,Standard random bridge,0.11994141578124813,0.19095090695405517,0.0
SIM-0281,DBS,UGA unsupervised bridge,0.007787383688304789,0.9992172836291956,1.0
SIM-0281,DBS,Oracle label bridge,0.007787383688304789,0.9992172836291956,1.0
SIM-0281,DBS,Standard no-bridge cohort mean,0.12552338108516653,0.38404810191761923,0.0
